,0
196,164.8766
197,320.8907
198,352.345
199,327.4658
200,327.4658
201,304.5581
202,304.5581
203,525.2788
204,213.4421
205,406.4507
206,420.4172
207,364.3872
208,364.3872
209,378.5617
210,378.5617
211,905.2411
212,223.5565
213,227.8066
214,227.8066
215,275.1032
216,111.4451
217,111.4451
218,206.3646
219,127.3676
220,816.5546
221,503.9859
222,657.4669
223,129.2793
224,776.7641
225,74.0981
226,353.6394
227,189.6022
228,73.8448
229,73.8448
230,253.3118
231,191.2399
232,393.8429
233,393.8429
234,603.5402
235,138.3811
236,74.0722
237,74.0722
238,662.6029
239,198.8434
240,198.8434
241,73.8131
242,158.9289
243,222.4277
244,222.4277
245,93.8094
246,93.8094
247,103.8
248,69.3159
249,308.7941
250,195.3392
251,275.6881
252,275.6881
253,114.5328
254,140.8933
255,193.7097
256,185.7748
257,103.1858
258,154.3978
259,192.1131
260,136.0831
261,71.4786
262,349.9903
263,110.8956
264,160.1388
265,160.1388
266,469.7756
267,344.1389
268,337.2913
269,337.2913
270,192.2945
271,181.7757
272,190.1745
273,191.2864
274,62.5606
275,160.5183
276,73.6225
277,191.4377
278,186.6179
279,186.6179
280,122.8773
281,191.4377
282,103.6885
283,74.2787
284,69.1947
285,157.5772
286,157.5772
287,196.3819
288,443.2283
289,443.2283
290,662.6029
291,662.6029
292,145.4076
293,191.4377
294,191.4377
295,196.2268
296,196.2268
297,201.4049
298,1635.9814
299,345.771
300,345.771
301,201.2458
302,503.3842
303,201.2428
304,516.8259
305,516.8259
306,516.8259
307,516.8259
308,215.187
309,165.4532
310,662.6029
311,662.6029
312,386.824
313,386.824
314,144.5094
315,144.5094
316,255.0825
317,255.0825
318,255.0825
319,205.3492
320,608.5125
321,608.5125
322,220.208
323,550.8386
324,102.8478
325,195.5049
326,195.5049
327,181.0941
328,218.2555
329,218.2555
330,69.8582
331,74.0447
332,74.7144
333,75.1874
334,75.1874
335,78.4731
336,221.7435
337,103.8612
338,229.3073
339,494.7967
340,494.7967
341,494.7967
342,147.2281
343,73.6225
344,107.1785
345,102.873
346,722.7333
347,214.1693
348,214.1693
349,81.1006
350,81.1006
351,238.5512
352,165.4532
353,232.2096
354,81.6468
355,81.6468
356,81.6468
357,210.4059
358,73.6225
359,75.4759
360,191.3495
361,103.341
362,140.6536
363,342.0301
364,342.0301
365,103.6256
366,133.7214
367,133.7214
368,493.7263
369,493.7263
370,493.7263
371,358.1137
372,502.33
373,822.6653
374,218.6042
375,218.6042
376,529.5314
377,529.5314
378,104.0006
379,68.7029
380,104.2802
381,288.6984
382,607.0907
383,607.0907
384,332.5117
385,228.3187
386,250.577
387,312.3399
388,312.3399
389,312.3399
390,312.3399
391,71.5895
392,272.9639
393,272.9639
394,118.867
395,166.1214
396,1280.7658
397,1280.7658
398,147.974
399,102.7654
400,365.6
401,365.6
402,365.6
403,484.5662
404,484.5662
405,102.7654
406,103.7321
407,424.6434
408,75.1887
409,111.8563
410,319.7762
411,105.9537
412,127.6907
413,127.6907
414,64.4184
415,155.1094
416,250.577
417,177.0757
418,177.0757
419,287.0074
420,287.0074
421,647.3595
422,184.3477
423,102.7654
424,442.8175
425,532.243
426,552.059
427,232.554
428,73.6225
429,273.5074
430,273.5074
431,1635.9814
432,1635.9814
433,600.9057
434,639.5341
435,191.6836
436,177.3647
437,241.3735
438,241.3735
439,75.371
440,62.2596
